Chordata;;Apodiformes;no
Cnidaria;;Sauria;
Mollusca;;Antipatharia;
Arthropoda;no;Scleractinia;
Annelida;no;Falconiformes;no
Echinodermata;;Chiroptera;no
;;Coraciiformes;
;;Stylommatophora;
;;Lepidoptera;
;;Carnivora;
;;Acipenseriformes;
;;Serpentes;
;;Passeriformes;
;;Rhinopristiformes;
;;Artiodactyla;
;;Stylasterina;
;;Anura;
;;Strigiformes;
;;Gruiformes;
;;Psittaciformes;
;;Testudines;
;;Primates;
;;Crocodylia;
;;Nautilida;
;;Lamniformes;
;;Caudata;
;;Anseriformes;
;;Scandentia;
;;Anguilliformes;
;;Pristiformes;
;;Araneae;
;;Osteoglossiformes;
;;Galliformes;
;;Piciformes;
;;Cetacea;
;;Ciconiiformes;
;;Diprotodontia;
;;Pilosa;
;;Charadriiformes;
;;Cingulata;
;;Cypriniformes;
;;Columbiformes;
;;Lagomorpha;
;;Carcharhiniformes;
;;Perissodactyla;
;;Perciformes;
;;Rodentia;
;;Coleoptera;
;;Unionoida;
;;Gorgonacea;
;;Sirenia;
;;Proboscidea;
;;Pelecaniformes;
;;Helioporacea;
;;Syngnathiformes;
;;Veneroida;
;;Arhynchobdellida;
;;Holothuriida;
;;Siluriformes;
;;Aspidochirotida;
;;Coelacanthiformes;
;;Mytiloida;
;;Peramelemorphia;
;;Pholidota;
;;Milleporina;
;;Myliobatiformes;
;;Ceratodontiformes;
;;Scorpiones;
